NAME,MS_FB_PARE,MS_FB,WIKIDATA,CODE
Ibeju - Lekki,country:ng/state:la,country:ng/state:la/federal-constituency:233,Q59681322,FC/233/LA
Ifako Ijaiye,country:ng/state:la,country:ng/state:la/federal-constituency:229,Q59681315,FC/229/LA
Ikeja,country:ng/state:la,country:ng/state:la/federal-constituency:236,Q59681330,FC/236/LA
Ikorodu,country:ng/state:la,country:ng/state:la/federal-constituency:237,Q59681332,FC/237/LA
Kosofe,country:ng/state:la,country:ng/state:la/federal-constituency:249,Q59681355,FC/249/LA
Lagos Mainland,country:ng/state:la,country:ng/state:la/federal-constituency:240,Q59681339,FC/240/LA
Ojo,country:ng/state:la,country:ng/state:la/federal-constituency:243,Q59681344,FC/243/LA
Somolu,country:ng/state:la,country:ng/state:la/federal-constituency:248,Q59681354,FC/248/LA
Akwanga/Nasarawa Eggon/Wamba,country:ng/state:na,country:ng/state:na/federal-constituency:252,Q59681359,FC/252/NW
Awe/Doma/Keana,country:ng/state:na,country:ng/state:na/federal-constituency:253,Q59681364,FC/253/NW
Keffi/Karu/Kokona,country:ng/state:na,country:ng/state:na/federal-constituency:254,Q59681365,FC/254/NW
Nasarawa/Toto,country:ng/state:na,country:ng/state:na/federal-constituency:256,Q59681369,FC/256/NW
Agaie / Lapai,country:ng/state:ni,country:ng/state:ni/federal-constituency:257,Q59681370,FC/257/NG
Borgu /Agwara,country:ng/state:ni,country:ng/state:ni/federal-constituency:258,Q59681372,FC/258/NG
Bida/Gbako/Katcha,country:ng/state:ni,country:ng/state:ni/federal-constituency:259,Q59681375,FC/259/NG
Bosso/Paikoro,country:ng/state:ni,country:ng/state:ni/federal-constituency:260,Q59681377,FC/260/NG
Chanchaga,country:ng/state:ni,country:ng/state:ni/federal-constituency:261,Q59681378,FC/261/NG
Lavun/Edati/Mokwa,country:ng/state:ni,country:ng/state:ni/federal-constituency:263,Q59681385,FC/263/NG
Suleja/Gurara/Tafa,country:ng/state:ni,country:ng/state:ni/federal-constituency:262,Q59681382,FC/262/NG
Kontagora/Mariga/Mashegu/Wushishi,country:ng/state:ni,country:ng/state:ni/federal-constituency:265,Q59681388,FC/265/NG
Rijau/Magama,country:ng/state:ni,country:ng/state:ni/federal-constituency:264,Q59681387,FC/264/NG
Shiroro/Rafi/Munya,country:ng/state:ni,country:ng/state:ni/federal-constituency:266,Q59681389,FC/266/NG
Abeokuita South,country:ng/state:og,country:ng/state:og/federal-constituency:268,Q59681390,FC/268/OG
Abeokuta North/Obafemi Owode/ Odeda,country:ng/state:og,country:ng/state:og/federal-constituency:267,Q4666754,FC/267/OG
Ado- Odo / Ota,country:ng/state:og,country:ng/state:og/federal-constituency:269,Q59681391,FC/269/OG
Egbado North /Imeko-Afon,country:ng/state:og,country:ng/state:og/federal-constituency:270,Q59681392,FC/270/OG
Egbado South / Ipokia,country:ng/state:og,country:ng/state:og/federal-constituency:271,Q59681393,FC/271/OG
Ifo / Ewekoro,country:ng/state:og,country:ng/state:og/federal-constituency:272,Q59681400,FC/272/OG
Ijebu Ode / Odogbolu Ijebu North East,country:ng/state:og,country:ng/state:og/federal-constituency:274,Q59681404,FC/274/OG
Ijebu North / Ijebu East /Ogun Waterside,country:ng/state:og,country:ng/state:og/federal-constituency:273,Q59681402,FC/273/OG
Ikenne /Remo North /Sagamu,country:ng/state:og,country:ng/state:og/federal-constituency:275,Q59681405,FC/275/OG
Akoko N. East/ Akoko N.West,country:ng/state:on,country:ng/state:on/federal-constituency:276,Q59681407,FC/276/OD
Akoko S. East/Akoko S.West,country:ng/state:on,country:ng/state:on/federal-constituency:277,Q59681409,FC/277/OD
Akure North/Akure South,country:ng/state:on,country:ng/state:on/federal-constituency:278,Q59681410,FC/278/OD
Eseodo/Ilaje,country:ng/state:on,country:ng/state:on/federal-constituency:282,Q59681420,FC/282/OD
Idanre/Ifedore,country:ng/state:on,country:ng/state:on/federal-constituency:129,Q59681411,FC/129/IM
Ileoluji/Okeigbo/Odigbo,country:ng/state:on,country:ng/state:on/federal-constituency:280,Q59681413,FC/280/OD
Irele/Okitipupa,country:ng/state:on,country:ng/state:on/federal-constituency:281,Q59681418,FC/281/OD
Ondo East/Ondo West,country:ng/state:on,country:ng/state:on/federal-constituency:283,Q59681422,FC/283/OD
Ose/Owo,country:ng/state:on,country:ng/state:on/federal-constituency:284,Q59681424,FC/284/OD
Atakunmosa East /Atakunmosa West/ Ilesa East/ Ilesa West,country:ng/state:os,country:ng/state:os/federal-constituency:288,Q59681431,FC/288/OS
Ayedaade/ Irewole/Isokan,country:ng/state:os,country:ng/state:os/federal-constituency:292,Q16891868,FC/292/OS
Ayedire/ Iwo/ Ola-Oluwa,country:ng/state:os,country:ng/state:os/federal-constituency:291,Q59681439,FC/291/OS
Boluwaduro/Ifedayo/Ila,country:ng/state:os,country:ng/state:os/federal-constituency:287,Q59681430,FC/287/OS
Ede North /Ede South / Egbedore /Ejigbo,country:ng/state:os,country:ng/state:os/federal-constituency:293,Q5336720,FC/293/OS
Ife Central/ Ife North/ Ife South/ Ife East,country:ng/state:os,country:ng/state:os/federal-constituency:290,Q59681438,FC/290/OS
Obokun/Oriade,country:ng/state:os,country:ng/state:os/federal-constituency:289,Q59681433,FC/289/OS
Afijio/Atiba/Oyo East/Oyo West,country:ng/state:oy,country:ng/state:oy/federal-constituency:294,Q59681441,FC/294/OY
Akinyele/Lagelu,country:ng/state:oy,country:ng/state:oy/federal-constituency:295,Q59681442,FC/295/OY
Saki East/Saki West/Atisbo,country:ng/state:oy,country:ng/state:oy/federal-constituency:299,Q59681450,FC/299/OY
Egbeda/Ona-Ara,country:ng/state:oy,country:ng/state:oy/federal-constituency:296,Q59681443,FC/296/OY
Ibadan North,country:ng/state:oy,country:ng/state:oy/federal-constituency:307,Q59681466,FC/307/OY
Ibarapa Central/Ibarapa North,country:ng/state:oy,country:ng/state:oy/federal-constituency:297,Q59681447,FC/297/OY
Ibarapa East/Ido,country:ng/state:oy,country:ng/state:oy/federal-constituency:298,Q59681449,FC/298/OY
Irepo/Olorunsogo/Oorelope,country:ng/state:oy,country:ng/state:oy/federal-constituency:300,Q59681453,FC/300/OY
Iseyin/Itesiwaju/Kajola/Iwajowa,country:ng/state:oy,country:ng/state:oy/federal-constituency:301,Q59681458,FC/301/OY
OgbomosoNorth/Ogbomoso,country:ng/state:oy,country:ng/state:oy/federal-constituency:302,Q59681459,FC/302/OY
Ogo-Oluwa/Surulere,country:ng/state:oy,country:ng/state:oy/federal-constituency:303,Q59681461,FC/303/OY
Oluyole,country:ng/state:oy,country:ng/state:oy/federal-constituency:304,Q59681462,FC/304/OY
B-Ladi/Riyom,country:ng/state:pl,country:ng/state:pl/federal-constituency:310,Q59681474,FC/310/PL
Bokkos/Mangu,country:ng/state:pl,country:ng/state:pl/federal-constituency:311,Q59681475,FC/311/PL
Jos East/Jos South,country:ng/state:pl,country:ng/state:pl/federal-constituency:309,Q59681468,FC/309/PL
Pankshin/Kanke/Kanam,country:ng/state:pl,country:ng/state:pl/federal-constituency:312,Q59681476,FC/312/PL
L/North/L/south,country:ng/state:pl,country:ng/state:pl/federal-constituency:314,Q59681478,FC/314/PL
Mikang/Qua'an/Pan/Shendam,country:ng/state:pl,country:ng/state:pl/federal-constituency:315,Q59681480,FC/315/PL
Wase,country:ng/state:pl,country:ng/state:pl/federal-constituency:313,Q59681477,FC/313/PL
Abua-Odual/Ahoada East,country:ng/state:ri,country:ng/state:ri/federal-constituency:316,Q59681481,FC/316/RV
Ahoada West/ Ogba/ Egbema/Ndoni,country:ng/state:ri,country:ng/state:ri/federal-constituency:317,Q59681482,FC/317/RV
Akuku Toru/Asari Toru,country:ng/state:ri,country:ng/state:ri/federal-constituency:319,Q59681486,FC/319/RV
Opobo/Nkoro/Andoni,country:ng/state:ri,country:ng/state:ri/federal-constituency:321,Q59681488,FC/321/RV
Degema/Bonny,country:ng/state:ri,country:ng/state:ri/federal-constituency:318,Q59681483,FC/318/RV
Ikwerre/Emohua,country:ng/state:ri,country:ng/state:ri/federal-constituency:324,Q59681491,FC/324/RV
Etche/Omuma,country:ng/state:ri,country:ng/state:ri/federal-constituency:325,Q59681492,FC/325/RV
Khana/Gokana,country:ng/state:ri,country:ng/state:ri/federal-constituency:323,Q59681490,FC/323/RV
Obio/Akpor,country:ng/state:ri,country:ng/state:ri/federal-constituency:326,Q59681493,FC/326/RV
Okrika/Ogu-Bolo,country:ng/state:ri,country:ng/state:ri/federal-constituency:320,Q59681487,FC/320/RV
Kware/Wamakko,country:ng/state:so,country:ng/state:so/federal-constituency:335,Q59681508,FC/335/SO
Wurno/Rabah,country:ng/state:so,country:ng/state:so/federal-constituency:331,Q59681503,FC/331/SO
Yabo/Shagari,country:ng/state:so,country:ng/state:so/federal-constituency:338,Q59681513,FC/338/SO
Sokoto North/Sokoto South,country:ng/state:so,country:ng/state:so/federal-constituency:336,Q59681509,FC/336/SO
Karim Lamido/Lau/Ardokola,country:ng/state:ta,country:ng/state:ta/federal-constituency:345,Q59681520,FC/345/TR
Bali/Gassol FC/340/TR,country:ng/state:ta,country:ng/state:ta/federal-constituency:340,Q59681515,FC/340/TR
Takum/Donga/Ussa,country:ng/state:ta,country:ng/state:ta/federal-constituency:341,Q59681516,FC/341/TR
Sardauna/Kurmi/Gash aka FC/342/TR,country:ng/state:ta,country:ng/state:ta/federal-constituency:342,Q59681517,FC/342/TR
Ibi/Wukari FC/343/TR,country:ng/state:ta,country:ng/state:ta/federal-constituency:343,Q59681518,FC/343/TR
Jalingo/Yorro/Zing,country:ng/state:ta,country:ng/state:ta/federal-constituency:344,Q59681519,FC/344/TR
Bade/Jakusko,country:ng/state:yo,country:ng/state:yo/federal-constituency:346,Q59681526,FC/346/YB
Bursari/Geidam/Yunusari,country:ng/state:yo,country:ng/state:yo/federal-constituency:347,Q59681528,FC/347/YB
Damauru/Tarmuwa/Gujb/ Gulani,country:ng/state:yo,country:ng/state:yo/federal-constituency:348,Q59681529,FC/348/YB
Fika/Fune,country:ng/state:yo,country:ng/state:yo/federal-constituency:349,Q59681530,FC/349/YB
Karasuwa/Machina/Nguru/Yusufari,country:ng/state:yo,country:ng/state:yo/federal-constituency:350,Q59681531,FC/350/YB
Nangere/Potiskum,country:ng/state:yo,country:ng/state:yo/federal-constituency:351,Q59681532,FC/351/YB
Anka / Talata-Mafara,country:ng/state:za,country:ng/state:za/federal-constituency:356,Q59681544,FC/356/ZF
Bakura / Maradun,country:ng/state:za,country:ng/state:za/federal-constituency:357,Q59681545,FC/357/ZF
Kaura-Namoda / Birnin Magaji,country:ng/state:za,country:ng/state:za/federal-constituency:352,Q59681533,FC/352/ZF
Gummi / Bukkuyum,country:ng/state:za,country:ng/state:za/federal-constituency:358,Q59681547,FC/358/ZF
Bungudu / Maru,country:ng/state:za,country:ng/state:za/federal-constituency:355,Q59681543,FC/355/ZF
Gusau/Tsafe,country:ng/state:za,country:ng/state:za/federal-constituency:354,Q59681535,FC/354/ZF
Shinkafi / Zurmi,country:ng/state:za,country:ng/state:za/federal-constituency:353,Q59681534,FC/353/ZF
Lagos Island I,country:ng/state:la,country:ng/state:la/federal-constituency:238,Q59681334,FC/238/LA
Surulere II,country:ng/state:la,country:ng/state:la/federal-constituency:251,Q59681358,FC/251/LA
Surulere I,country:ng/state:la,country:ng/state:la/federal-constituency:250,Q59681357,FC/250/LA
Oshodi Isolo I,country:ng/state:la,country:ng/state:la/federal-constituency:246,Q59681352,FC/246/LA
Oshodi Isolo II,country:ng/state:la,country:ng/state:la/federal-constituency:247,Q59681353,FC/247/LA
Mushin II,country:ng/state:la,country:ng/state:la/federal-constituency:242,Q59681342,FC/242/LA
Mushin I,country:ng/state:la,country:ng/state:la/federal-constituency:241,Q59681341,FC/241/LA
Lagos Island II,country:ng/state:la,country:ng/state:la/federal-constituency:239,Q59681336,FC/239/LA
Port-Harcourt I,country:ng/state:ri,country:ng/state:ri/federal-constituency:327,Q59681495,FC/327/RV
Port0Harcourt II,country:ng/state:ri,country:ng/state:ri/federal-constituency:328,Q59681500,FC/328/RV
Nassarawa,country:ng/state:kn,country:ng/state:kn/federal-constituency:184,Q59681235,FC/184/KN
